Sno,Timestamp,gender,coordinates,
1,12:00,male,"0,0",
2,12:01,male,"100,100",
3,12:02,male,"200,200",
4,12:03,male,"300,300",
5,12:04,male,"400,400",
6,12:05,male,"0,0",
7,12:05,female,"0,0",
8,12:06,male,"300,100",
9,12:06,female,"100,300",
10,12:07,male,"400,200",
11,12:07,female,"200,400",
12,12:08,male,"500,300",
13,12:08,female,"300,500",
14,12:09,male,"600,800",
15,12:09,female,"600,800",
16,12:10,male,"500,500",
17,12:11,male,"600,800",
18,12:12,male,"0,0",
19,12:13,male,"300,100",
20,12:14,male,"400,200",
21,12:15,female,"0,0",
22,12:16,female,"450,200",
23,12:17,female,"550,250",
24,12:18,female,"300,100",
25,12:19,female,"500,400",
26,12:20,female,"550,600",
27,12:21,female,"600,800",
28,12:22,female,"0,0",
29,12:23,female,"300,100",
30,12:24,female,"500,400",
31,12:25,female,"150,450",
32,12:26,female,"500,500",
33,12:27,female,"600,800",
34,12:28,male,"0,0",
35,12:29,male,"250,400",
36,12:30,male,"500,500",
37,12:31,male,"300,100",
38,12:32,male,"500,400",
39,12:33,male,"600,800",
40,12:34,male,"0,0",
41,12:35,male,"150,450",
42,12:36,male,"250,400",
43,12:37,male,"300,300",
44,12:38,male,"200,150",
45,12:39,male,"350,450",
46,12:40,male,"450,750",
47,12:41,male,"600,800",
48,12:42,male,"0,0",
49,12:43,male,"250,300",
50,12:44,male,"500,550",
